id	key	day	weekday	ruf	ruf_id	lesung_1	lesung_1id	antwort	antwortid	lesung_2	lesung_2id	evangelium	evangeliumid	variant	overwrite	ende	gotteslob	unterwegs
203	Andreas Dung-Lac, Priester, u. Gefährten, Märtyrer (17.-19. Jh.)					Weish 3,1-9	"
	Ps 126	1477			Mt 10,17-22	"
			.	NULL	NULL
204	Katharina von Alexandrien, Jungfrau, Märtyrin (4. Jh.)					Röm 5,1-5	2240	Ps 31,3b-4.6.8.16-17	855			Lk 9,23-26	2253			.	NULL	NULL
205	Konrad (975) und Gebhard (995), Bischöfe von Konstanz					Sir 44,1-2.3b-4.7.10.14-15	2620	Ps 40,2.4a-b.7-12.17cd	2643			Lk 10,1-9	935			.	NULL	NULL
206	ANDREAS, APOSTEL					Röm 10,9-18	2621	Ps 19,2-3.4-5b	1312			|break|Mt 4,18-22	2391			.	NULL	NULL
207	Luzius, Bischof von Chur, Märtyrer (5./6. Jh.)					Jak 1,12-18	2622	Ps 89,2-3.20a.4-5.21-22.25.27	1481			Joh 10,11-16	2332			.	NULL	NULL
208	Franz Xaver, Ordenspr., Glaubensb. in Indien und Ostasien (1552)					1 Kor 9,16-19.22-23	393	Ps 117	982			Mk 16,15-20	695			.	NULL	NULL
209	Barbara, Märtyrin in Nikomedien (306); Johannes von Damaskus, Pr., Kirchenlehrer (um 750); Adolph Kolping, Pr. (1865) [dD]					Röm 8,31b-39; 2 Tim 1,13-14; 2,1-3	2287; 2342	Ps 34,2-9; Ps 19,8-12	1313; 2640			Mt 10,34-39; Mt 25,14-30	2288; 2108			.	NULL	NULL
210	Anno, Bischof von Köln, Reichskanzler (1075)					Eph 4,1-7.11-13	2393	Ps 16,1-2.5.7-9.11	1474			Mt 23,8-12	2394			.	NULL	NULL
211	Nikolaus, Bischof von Myra (um 350)					Jes 6,1-8	2395	Ps 40,2.4a-b.7-10	912			Lk 10,1-9	935			.	NULL	NULL
212	Ambrosius, Bischof von Mailand, Kirchenlehrer (397)					Eph 3,8-12	2175	Ps 89,2-3.20a.4-5.21-22.25.27	1481			Joh 10,11-16	2332			.	NULL	NULL
213	HOCHFEST DER OHNE ERBSÜNDE EMPFANGENEN JUNGFRAU UND GOTTESMUTTER MARIA				11797	Gen 3,9-15.20	790	Ps 98,1.2-3b.3c-4	792	Eph 1,3-6.11-12	793	Lk 1,26-38	696			.		NULL
214	Johannes Didacus Cuauhtlatoatzin, Glaubensbote (1548)					Jes 41,13-20	"
	Ps 145				Mt 11,7b.11-15	"
			.	NULL	NULL
215	Damasus I., Papst (384)					Apg 20,17-18a.28-32.36	2299	Ps 110,1-5	920			Joh 15,9-17	717			.	NULL	NULL
216	Gedenktag Unserer Lieben Frau von Guadalupe					Spr 31,10-13.19-20.30-31	2291	Ps 131	1305			Mk 3,31-35	938			.	NULL	NULL
217	Odilia, Äbtissin (um 720); Luzia, Jungfr., Märt. in Syrakus (um 304)					Jes 35,1-4a.5-6.10; 2 Kor 10,17-11,2	2398	Ps 45,11-12.14-17; Ps 31,3b-4.6.8.16-17	2657; 855			Lk 11,33-36; Mt 25,1-13	2397; 2399			.	NULL	NULL
218	Johannes vom Kreuz, Ordenspriester, Kirchenlehrer (1591)					1 Kor 2,1-10	2400	Ps 37,3-6.30-31	1475			Lk 14,25-33	2387			.	NULL	NULL
219	Johannes von Krakau, Priester (1473)					Jak 2,14-17	2401	Ps 112,1-7.9	1630			Lk 6,27-38	2402			.	NULL	NULL
220	WEIHNACHTEN|break|HOCHFEST|break|DER GEBURT|break|DES HERRN					Jes 52,7-10	109	Ps 98	854	Hebr 1,1-6	110	Joh 1,1-18	111			.	238; 239; 241; 248; 251; 253; 256	
221	STEPHANUS, ERSTER MÄRTYRER			Ps 118 (117),26a.27a	11803	Apg 6,8-10; 7,54-60	364	|break|Ps 31,3b-4.6 u. 8.16-17	855			|break|Mt 10,17-22	621			.		NULL
222	JOHANNES, APOSTEL UND EVANGELIST				11804	1 Joh 1,1-4	856	Ps 97,1-2.5-6.11-12	857			Joh 20,2-8	858			.		NULL
223	UNSCHULDIGE KINDER				11805	1 Joh 1,5 - 2,2	859	Ps 124,2-3.4-5.7-8	860			Mt 2,13-18	861			.		NULL
224	Thomas Becket, Bi. v. Canterbury, Märt. (1170)					2 Tim 2,8-13; 3,10-12	2403	Ps 34,2-9	1313			Mt 16,24-27	2404			.	NULL	NULL
225	Silvester I., Papst (335)					Ez 34,11-16	2306	Ps 23	1246			Mt 16,13-19	2300			.	NULL	NULL
226	Wochentag in der Weihnachtszeit (2.1.)	2.1.				1 Joh 2,22-28	865	Ps 98,1.2-3b.3c-4	866			Joh 1,19-28	867			.	NULL	NULL
227	Wochentag in der Weihnachtszeit (3.1.)	3.1.				1 Joh 2,29 - 3,6	868	Ps 98,1.3c-4.5-6	869			Joh 1,29-34	713			.	NULL	NULL
228	Wochentag in der Weihnachtszeit (4.1.)	4.1.				1 Joh 3,7-10	870	Ps 98,1.7-8.9	871			Joh 1,35-42	755			.	NULL	NULL
229	Wochentag in der Weihnachtszeit (5.1.)	5.1.				1 Joh 3,11-21	873	Ps 100,2-3.4-5	874			Joh 1,43-51	875			.	NULL	NULL
230	Wochentag in der Weihnachtszeit (6.1.)	6.1.				1 Joh 5,5-13	876	Ps 147	896			Mk 1,7-11	382			.	NULL	NULL
231	Wochentag nach Erscheinung (7.1.)	7.1.				1 Joh 3,22 - 4,6	885	Ps 2,7-8.10-11	886			Mt 4,12-17.23-25	887			.	NULL	NULL
232	Wochentag nach Erscheinung (8.1.)	8.1.				1 Joh 4,7-10	467	Ps 72,1-2.3-4b.7-8	888			Mk 6,34-44	889			.	NULL	NULL
233	Wochentag nach Erscheinung (9.1.)	9.1.				1 Joh 4,11-18	890	Ps 72,1-2.10-11.12-13	891			Mk 6,45-52	892			.	NULL	NULL
234	Wochentag nach Erscheinung (10.1.)	10.1.				1 Joh 4,19 - 5,4	893	|break|Ps 72,1-2.14 u. 15bc.17	894			|break|Lk 4,14-22a	895			.	NULL	NULL
235	Wochentag nach Erscheinung (11.1.)	11.1.				1 Joh 5,5-13	876	Ps 147,12-13.14-15.19-20	896			Lk 5,12-16	897			.	NULL	NULL
236	Wochentag nach Erscheinung (12.1.)	12.1.				1 Joh 5,14-21	883	Ps 149,1-2.3-4.5-6a u. 9b	884			Joh 3,22-30	899			.	NULL	NULL
237	TAUFE DES HERRN				11088	Jes 42,5a.1-4.6-7	124	|break|Ps 29,1-2.3ac-4.3b.9b-10	910	|break|Apg 10,34-38	125	Mt 3,13-17	126	A		.	357; 362; 481; 485; 489; 491	83; 133; 136; 256
238	TAUFE DES HERRN				11153 oder 11154	Jes 55,1-11	685	Jes 12,2.3 u. 4bcd.5-6	911	1 Joh 5,1-9	381	Mk 1,7-11	382	B		.	357; 362; 481; 485; 489; 491	83; 133; 136; 256
239	TAUFE DES HERRN				11212	Jes 42,5a.1-4.6-7 (oder: Jes 40,1-5.9-11)	124	Ps 29,1-2.3ac-4.3b u. 9b-10 (oder: Ps 104,1-2.3-4.24-25.27-28.29-30)	910	Apg 10,34-38 (oder: Tit 2,11-14;3,4-7)	125	Lk 3,15-16.21-22	1718	C		.	357; 362; 481; 485; 489; 491	83; 133; 136; 256
240	ASCHERMITTWOCH				11089	Joël 2,12-18	139	Ps 51,3-4.5-6b.12-13.14 u. 17	1024	2 Kor 5,20 - 6,2	140	Mt 6,1-6.16-18	141			.	142; 266; 272; 275; 422; 460; 638	45; 52; 104; 240
241	Wochentag nach Aschermittwoch		Do			Dtn 30,15-20	1025	Ps 1,1-2.3.4 u. 6	1015			|break|Lk 9,22-25	1026			.	NULL	NULL
242	Wochentag nach Aschermittwoch		Fr			Jes 58,1-9a	1027	Ps 51,3-4.5-6b.18-19	1028			Mt 9,14-15	1029			.	NULL	NULL
